,,,,,,,,Federal Housing Finance Agency,,,,,,,
,,,,,,,,www.fhfa.gov,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"TABLE 23:  TERMS ON CONVENTIONAL SINGLE-FAMILY MORTGAGES, MONTHLY NATIONAL AVERAGES, ALL HOMES, ADJUSTABLE-RATE MORTGAGES",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Month,Contract,Initial,Effective,Term,Mortgage,Purchase,Loan-,,,,,,,
,,Interest,Fees,Interest,to,Loan,Price,to-Price,,,,,,,
,,Rate,and,Rate,Maturity,Amount,($000),Ratio,,,,,,,
,,(%),Charges,(%),,($000),,(%),,,,,,,
,,,(%),,,,,,,,,,,,
,,,,,,,,,,,,,,,
2014,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2014,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2014,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2014,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2015,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2016,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2017,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,01,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,02,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,03,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,04,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,05,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,06,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,07,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,08,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,09,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,10,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,11,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
2018,12,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,N/A*,,,,,,,
,,,,,,,,,,,,,,,
,,*Insufficient data to construct a reliable estimate.,,,,,,,,,,,,,
,,"Note: Starting in 2012, data is unweighted.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Source: Federal Housing Finance Agency,,,,,,,,,,,,,
,,            Monthly Interest Rate Survey,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
